"","103_R1.fastq","115_R1.fastq"
"ASV_1",173,0
"ASV_2",0,143
"ASV_3",78,36
"ASV_4",86,18
"ASV_5",91,0
"ASV_6",0,72
"ASV_7",71,0
"ASV_8",39,30
"ASV_9",60,0
"ASV_10",6,48
"ASV_11",0,45
"ASV_12",24,19
"ASV_13",37,0
"ASV_14",0,37
"ASV_15",0,36
"ASV_16",35,0
"ASV_17",35,0
"ASV_18",26,5
"ASV_19",15,16
"ASV_20",27,0
"ASV_21",0,27
"ASV_22",0,26
"ASV_23",0,24
"ASV_24",22,0
"ASV_25",0,21
"ASV_26",0,21
"ASV_27",20,0
"ASV_28",0,20
"ASV_29",19,0
"ASV_30",0,18
"ASV_31",0,17
"ASV_32",0,17
"ASV_33",16,0
"ASV_34",0,16
"ASV_35",14,0
"ASV_36",14,0
"ASV_37",14,0
"ASV_38",0,14
"ASV_39",0,14
"ASV_40",0,14
"ASV_41",0,14
"ASV_42",0,14
"ASV_43",13,0
"ASV_44",13,0
"ASV_45",0,13
"ASV_46",12,0
"ASV_47",0,12
"ASV_48",0,12
"ASV_49",0,12
"ASV_50",0,12
"ASV_51",0,12
"ASV_52",0,12
"ASV_53",0,11
"ASV_54",0,11
"ASV_55",0,11
"ASV_56",0,11
"ASV_57",0,10
"ASV_58",0,10
"ASV_59",0,10
"ASV_60",0,10
"ASV_61",9,0
"ASV_62",9,0
"ASV_63",0,9
"ASV_64",0,9
"ASV_65",0,9
"ASV_66",0,9
"ASV_67",0,9
"ASV_68",0,9
"ASV_69",8,0
"ASV_70",8,0
"ASV_71",0,8
"ASV_72",0,8
"ASV_73",0,8
"ASV_74",7,0
"ASV_75",7,0
"ASV_76",7,0
"ASV_77",7,0
"ASV_78",0,7
"ASV_79",0,7
"ASV_80",0,7
"ASV_81",0,7
"ASV_82",0,7
"ASV_83",0,7
"ASV_84",0,7
"ASV_85",0,7
"ASV_86",0,7
"ASV_87",0,7
"ASV_88",6,0
"ASV_89",6,0
"ASV_90",6,0
"ASV_91",0,6
"ASV_92",0,6
"ASV_93",0,6
"ASV_94",0,6
"ASV_95",0,6
"ASV_96",0,6
"ASV_97",0,6
"ASV_98",0,6
"ASV_99",0,6
"ASV_100",0,6
"ASV_101",5,0
"ASV_102",5,0
"ASV_103",5,0
"ASV_104",5,0
"ASV_105",5,0
"ASV_106",5,0
"ASV_107",0,5
"ASV_108",0,5
"ASV_109",0,5
"ASV_110",0,5
"ASV_111",0,5
"ASV_112",0,5
"ASV_113",0,5
"ASV_114",0,5
"ASV_115",0,5
"ASV_116",0,5
"ASV_117",4,0
"ASV_118",4,0
"ASV_119",4,0
"ASV_120",0,4
"ASV_121",0,4
"ASV_122",0,4
"ASV_123",0,4
"ASV_124",0,4
"ASV_125",0,4
"ASV_126",0,4
"ASV_127",0,4
"ASV_128",0,4
"ASV_129",0,4
"ASV_130",0,4
"ASV_131",0,4
"ASV_132",0,4
"ASV_133",0,4
"ASV_134",0,4
"ASV_135",0,4
"ASV_136",0,4
"ASV_137",3,0
"ASV_138",3,0
"ASV_139",3,0
"ASV_140",3,0
"ASV_141",3,0
"ASV_142",3,0
"ASV_143",3,0
"ASV_144",3,0
"ASV_145",3,0
"ASV_146",3,0
"ASV_147",3,0
"ASV_148",3,0
"ASV_149",3,0
"ASV_150",3,0
"ASV_151",3,0
"ASV_152",0,3
"ASV_153",0,3
"ASV_154",0,3
"ASV_155",0,3
"ASV_156",0,3
"ASV_157",0,3
"ASV_158",0,3
"ASV_159",0,3
"ASV_160",0,3
"ASV_161",0,3
"ASV_162",0,3
"ASV_163",0,3
"ASV_164",0,3
"ASV_165",0,3
"ASV_166",0,3
"ASV_167",2,0
"ASV_168",2,0
"ASV_169",2,0
"ASV_170",2,0
"ASV_171",2,0
"ASV_172",2,0
"ASV_173",2,0
"ASV_174",2,0
"ASV_175",2,0
"ASV_176",2,0
"ASV_177",2,0
"ASV_178",2,0
"ASV_179",2,0
"ASV_180",0,2
"ASV_181",0,2
"ASV_182",0,2
"ASV_183",0,2
"ASV_184",0,2
"ASV_185",0,2
"ASV_186",0,2
"ASV_187",0,2
"ASV_188",0,2
"ASV_189",0,2
"ASV_190",0,2
"ASV_191",0,2
"ASV_192",0,2
"ASV_193",0,2
"ASV_194",0,2
"ASV_195",0,2
"ASV_196",0,2
"ASV_197",0,2
"ASV_198",0,2
"ASV_199",0,2
"ASV_200",0,2
"ASV_201",0,2
"ASV_202",0,2
"ASV_203",0,2
